vaalipiiri;sukunimi;etunimi;puolue;ikä;sukupuoli;Toimin tällä hetkellä kansanedustajana.;kotikunta;Äidinkieli;Kotisivun osoite:;Facebook-profiilin osoite:;Twitter-profiilin osoite:;Työnantaja;Ammattiasema;Koulutus;Uskonnollinen yhteisö;Poliittisen puolueen jäsen;Poliittinen kokemus;Käytän vaaleihin rahaa;Ulkopuolisen rahoituksen osuus;Vuositulot;127|Suomessa on liian helppo elää sosiaaliturvan varassa;128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.;129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.;130|Työntekijälle on turvattava lailla minimityöaika.;131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.;132|Euron ulkopuolella Suomi pärjäisi paremmin.;134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.;135|Lapsilisiä on korotettava ja laitettava verolle.;136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.;137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.;138|Suomeen tarvitaan enemmän poliiseja.;139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.;140|Venäjän etupiiripolitiikka on uhka Suomelle.;141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.;142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.;143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.;144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.;145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.;146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.;148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.;150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.;151|On aika luopua ajatuksesta, että koko Suomi on pidettävä asuttuna.;201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.;244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.;245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.;246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.;247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.;248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.
12 Oulun vaalipiiri;Husso;Jarmo;Kansallinen Kokoomus;61;M;0;Oulu;suomi ;http://www.jarmohusso.fi;http://www.facebook.com/hussojarmo;http://www.twitter.com/hussojarmo;;yrittäjä ;joku muu;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ;20 000-50 000 euroa;51-80 %;50 000-70 000 euroa;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei
01 Helsingin vaalipiiri;Huttula;Tapio;Suomen Keskusta;51;M;0;Helsinki;suomi ;http://tapiohuttula.fi;https://www.facebook.com/TapioHuttulaEduskuntavaalit2015;https://twitter.com/@TapioHuttula;yksityinen ;johtava asema ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;ei;ei mitään näistä;10 000-20 000 euroa;0Â %;70 000-100 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei
09 Savo-Karjalan vaalipiiri;Huttunen;Hanna;Suomen Keskusta;45;F;0;Outokumpu;suomi ;http://www.hannahuttunen.fi;;;yksityinen ;yrittäjä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;20 000-50 000 euroa;51-80 %;;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;Kyllä;Ei;;;Ei;Kyllä
08 Kaakkois-Suomen vaalipiiri;Huttunen;Heimo;Muutos 2011;0;M;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11 Keski-Suomen vaalipiiri;Huttunen;Marjukka;Vasemmistoliitto;28;F;0;Jyväskylä;suomi ;http://www.marjukkahuttunen.fi;http://facebook.com/marjukkahuttunen;;;opiskelija ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ;1 000-5 000 euroa;81-100%;alle 20 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Ei;Ei;Ei;Ei
11 Keski-Suomen vaalipiiri;Huumonen;Hanna;Suomen Sosialidemokraattinen Puolue;26;F;0;Jyväskylä;suomi ;http://hannahuumonen.fi/;https://www.facebook.com/HuumonenEduskuntaan;https://twitter.com/HannaHuumonen;julkinen ;opiskelija ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ;5 000-10 000 euroa;81-100%;alle 20 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;Ei;Ei;Ei;Ei;Ei;Ei
12 Oulun vaalipiiri;Hynynen;Evelyn;Suomen Kristillisdemokraatit (KD);53;F;0;Kajaani;suomi ;http://www.rauhanmajatalo.fi;;;yksityinen ;yrittäjä ;korkeakoulututkinto ;muu kristillinen kirkko tai yhteisö ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ;alle 1 000 euroa;21-50%;;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä
02 Uudenmaan vaalipiiri;Hyrkkö;Saara;Vihreä liitto;27;F;0;Espoo;suomi ;http://www.saarahyrkko.fi;http://www.facebook.com/SaaraHyrkko;http://www.twitter.com/SaaraHyrkko;ei työelämässä;opiskelija ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ;10 000-20 000 euroa;51-80 %;alle 20 000 euroa;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Ei;Ei;Ei;Ei
02 Uudenmaan vaalipiiri;Hyrske;Oula;Vasemmistoliitto;32;M;0;Järvenpää;suomi ;http://www.oulahyrske.com;http://www.facebook.com/oula.hyrske;http://www.twitter.com/oulahyrske;yksityinen ;työntekijä ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ;5 000-10 000 euroa;51-80 %;20 000-30 000 euroa;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;ohita kysymys;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä
08 Kaakkois-Suomen vaalipiiri;Hyttinen;Jyrki;Kansallinen Kokoomus;52;M;0;Kouvola;suomi ;http://www.jyrkihyttinen.fi;http://www.facebook.com/jyrkihyttinen;https://twitter.com/JyrkiHyttinen;yksityinen ;yrittäjä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;10 000-20 000 euroa;21-50%;30 000-50 000 euroa;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei
01 Helsingin vaalipiiri;Hyttinen;Nuutti;Perussuomalaiset;33;M;0;Helsinki;suomi ;http://www.nuuttihyttinen.fi/;https://www.facebook.com/hyttinen.nuutti/;https://twitter.com/nuuttihyttinen;yksityinen ;asiantuntijatehtävä ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ;5 000-10 000 euroa;1-20 %;50 000-70 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;Ei;Kyllä;Ei;Ei;Kyllä;Kyllä
02 Uudenmaan vaalipiiri;Hyttinen;Paula;Vasemmistoliitto;62;F;0;Tuusula;suomi ;;;;;eläkeläinen ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ;alle 1 000 euroa;0Â %;20 000-30 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;ohita kysymys;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä
07 Pirkanmaan vaalipiiri;Hyötynen;Kalle;Vasemmistoliitto;47;M;0;Tampere;suomi ;http://www.kallehyotynen.fi;;https://twitter.com/@KHytynen;yksityinen ;työntekijä ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ;20 000-50 000 euroa;81-100%;30 000-50 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä
02 Uudenmaan vaalipiiri;Häkkinen;Martti;Muutos 2011;63;M;0;Helsinki;suomi ;;;;yksityinen ;yrittäjä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;ei mitään näistä;1 000-5 000 euroa;0Â %;alle 20 000 euroa;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;ohita kysymys;jokseenkin samaa mieltä;jokseenkin samaa mieltä;ohita kysymys;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä
08 Kaakkois-Suomen vaalipiiri;Häkkänen;Antti ;Kansallinen Kokoomus;30;M;0;Mäntyharju;suomi ;http://www.anttihakkanen.fi;https://www.facebook.com/hakkanenantti?fref=ts;;julkinen ;asiantuntijatehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;yli 50 000 euroa;51-80 %;30 000-50 000 euroa;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä
10 Vaasan vaalipiiri;Häli;Pirkko;Suomen Kristillisdemokraatit (KD);66;F;0;Kokkola;suomi ;https://Pirkkohali.wordpress.com;;;julkinen ;toimihenkilö ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;1 000-5 000 euroa;51-80 %;20 000-30 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Kyllä;Ei;Ei
12 Oulun vaalipiiri;Hällfors;Pontus;Suomen ruotsalainen kansanpuolue;0;M;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03 Varsinais-Suomen vaalipiiri;Hällfors-Laaksonen;Tuula;Suomen Sosialidemokraattinen Puolue;52;F;0;Loimaa;suomi ;http://tuulahallfors-laaksonen.fi;https://www.facebook.com/Tuulamatkalla;;julkinen ;toimihenkilö ;;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ;;;;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;ohita kysymys;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;ohita kysymys;täysin samaa mieltä;ohita kysymys;ohita kysymys;ohita kysymys;ohita kysymys;ohita kysymys;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;ohita kysymys;ohita kysymys;ohita kysymys;Ei;Kyllä;Kyllä;Ei;Ei;Ei
11 Keski-Suomen vaalipiiri;Hämynen;Miika;Piraattipuolue;29;M;0;Jyväskylä;suomi ;http://miikahamynen.fi;https://www.facebook.com/miika.hamynen;https://twitter.com/MiikaHamynen;julkinen ;toimihenkilö ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ;alle 1 000 euroa;1-20 %;alle 20 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;ohita kysymys;;jokseenkin samaa mieltä;;jokseenkin eri mieltä;Kyllä;Kyllä;Tyhjä;Ei;Kyllä;Kyllä
12 Oulun vaalipiiri;Hämäläinen;Arto;Itsenäisyyspuolue;34;M;0;Kempele;suomi ;http://itsenaisyyspuolueenoulunpiirijarjesto.yhdistysavain.fi/new_page-211064/#token-215159;https://www.facebook.com/profile.php?id=100006968117924;;;yrittäjä ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ;alle 1 000 euroa;0Â %;;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä
01 Helsingin vaalipiiri;Hämäläinen;Jari;Itsenäisyyspuolue;0;M;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07 Pirkanmaan vaalipiiri;Hämäläinen;Juha;Itsenäisyyspuolue;0;M;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01 Helsingin vaalipiiri;Hämäläinen;Juha;Suomen Kommunistinen Puolue;69;M;0;Helsinki;suomi ;http://vaalikone.yle.fi/ehdokaskone;;;ei työelämässä;eläkeläinen ;joku muu;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ;alle 1 000 euroa;0Â %;30 000-50 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;ohita kysymys;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;ohita kysymys;Kyllä;Ei;Ei;Ei;Ei;Ei
03 Varsinais-Suomen vaalipiiri;Hämäläinen;Juha Ilari;Itsenäisyyspuolue;44;M;0;Salo;suomi ;https://findianajones2015.wordpress.com/etusivu/;;;;;;evankelis-luterilainen kirkko ;ei;;;;;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä
11 Keski-Suomen vaalipiiri;Hämäläinen;Jukka;Suomen Sosialidemokraattinen Puolue;48;M;0;Jyväskylä;suomi ;http://www.jukkahamalainen.com;https://www.facebook.com/jukanjousille;https://twitter.com/@jhamalainen66;yksityinen ;työntekijä ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;10 000-20 000 euroa;51-80 %;30 000-50 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä
11 Keski-Suomen vaalipiiri;Hämäläinen;Jyri;Piraattipuolue;26;M;0;Jyväskylä;suomi ;http://piraattipuolue.fi/jyri-hamalainen;https://www.facebook.com/jyri.hamalainen.piraatti;https://twitter.com/jypehama;ei työelämässä;opiskelija ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ;alle 1 000 euroa;0Â %;alle 20 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä
06 Hämeen vaalipiiri;Hämäläinen;Kristiina;Kansallinen Kokoomus;36;F;0;Hollola;suomi ;http://www.kristiinahamalainen.fi;https://www.facebook.com/hamalainenkrisse;https://twitter.com/K_Hamalainen;julkinen ;asiantuntijatehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;10 000-20 000 euroa;21-50%;30 000-50 000 euroa;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä
